,category,subgroup,name,importance,shap_mean_0,shap_mean_1,shap_mean_2
0,ohlcv,price,open,0.0,0.0,0.0,0.0
1,ohlcv,price,high,0.000710550753865391,-0.014200886711478233,0.012271111831068993,-0.003502768697217107
2,ohlcv,price,low,0.0022378216963261366,0.0,0.003680136753246188,-0.006539780646562576
3,ohlcv,price,close,0.002418483840301633,-0.0001270047068828717,0.0033426221925765276,-0.012027520686388016
4,ohlcv,price,open_pct,0.0014439404476433992,0.0014218983706086874,0.0004691291833296418,-0.006581946276128292
5,ohlcv,price,high_pct,0.0017730051185935736,-0.3359988033771515,0.11531808227300644,-0.0207423884421587
6,ohlcv,price,low_pct,0.0015716406051069498,-0.0389796644449234,-0.03201742842793465,0.026304306462407112
7,ohlcv,price,close_pct,0.005395796149969101,-0.010513871908187866,0.03756542131304741,-0.06069735065102577
8,ohlcv,price,open_spl_d1,0.002427047584205866,-0.007869190536439419,0.0026036931667476892,0.011529679410159588
9,ohlcv,price,high_spl_d1,0.0013912854483351111,-0.022354580461978912,-0.01583605818450451,-0.0022071392741054296
10,ohlcv,price,low_spl_d1,0.0016082095680758357,-0.0234233271330595,-0.00237993523478508,-0.04641799256205559
11,ohlcv,price,close_spl_d1,0.003067244775593281,0.01441258005797863,-0.008544549345970154,-0.006892572622746229
12,ohlcv,price,open_spl_d2,0.0022222157567739487,0.00919159222394228,0.004266951698809862,-0.03188859671354294
13,ohlcv,price,high_spl_d2,0.0017207288183271885,-0.011165373027324677,0.0013349339133128524,1.968139076780062e-05
14,ohlcv,price,low_spl_d2,0.0025281300768256187,-0.019487669691443443,-0.01389921735972166,-0.034166350960731506
15,ohlcv,price,close_spl_d2,0.0020070334430783987,-0.006551352329552174,0.0014272133121266961,0.012671545147895813
16,ohlcv,price,open_resid,0.0061658164486289024,0.02141854166984558,-0.020533643662929535,0.0015523257898166776
17,ohlcv,price,high_resid,0.00450135488063097,0.11107314378023148,-0.046100739389657974,0.001297126291319728
18,ohlcv,price,low_resid,0.006613554432988167,0.09894763678312302,-0.03523043543100357,-0.006836920510977507
19,ohlcv,price,close_resid,0.00822418462485075,0.07131336629390717,-0.039036042988300323,0.15600436925888062
20,ohlcv,volume,volume_pct,0.0025184075348079205,0.03125343471765518,-0.022850854322314262,0.0018387959571555257
21,ohlcv,history,open_lag1,0.016247425228357315,-0.007708436343818903,0.0,-0.0018050424987450242
22,ohlcv,history,open_lag2,0.005472270771861076,-0.0018475285032764077,0.0,0.0
23,ohlcv,history,open_lag3,0.0006761581171303988,0.0,0.006972111761569977,0.0
24,ohlcv,history,open_lag4,0.0023695083800703287,0.0,0.00594699289649725,-0.0006319489912129939
25,ohlcv,history,open_lag5,4.1952120227506384e-05,0.004364099819213152,0.0,0.0
26,ohlcv,history,open_lag6,0.00033057588734664023,0.0003889545623678714,0.0,0.0
27,ohlcv,history,open_lag7,6.315708742477e-05,0.0,0.0,-0.004404787439852953
28,ohlcv,history,open_lag8,0.00011926120350835845,0.0,0.0,0.0015434443484991789
29,ohlcv,history,open_lag9,0.0021452682558447123,0.0,0.0,0.00928068719804287
30,ohlcv,history,open_lag10,0.0052717323414981365,0.0,0.029554050415754318,-0.0004776183923240751
31,ohlcv,history,high_lag1,0.0003285727871116251,0.0007894301088526845,-0.02038719691336155,-0.013609281741082668
32,ohlcv,history,high_lag2,2.5465755243203603e-05,0.0,0.00719318725168705,-0.014146983623504639
33,ohlcv,history,high_lag3,0.000413647125242278,-0.002692593727260828,0.024457676336169243,0.0004613694327417761
34,ohlcv,history,high_lag4,0.0014178757555782795,-0.012381748296320438,0.016257183626294136,0.0
35,ohlcv,history,high_lag5,0.0001693489757599309,0.0004925018292851746,0.052352335304021835,-0.0010222350247204304
36,ohlcv,history,high_lag6,0.0025761686265468597,0.003185650333762169,0.0,-0.007193205412477255
37,ohlcv,history,high_lag7,0.0035786929074674845,-0.0008767873514443636,0.005520006641745567,-0.002428705571219325
38,ohlcv,history,high_lag8,0.0002817458880599588,-0.0016569923609495163,0.0060679856687784195,-0.0008253310807049274
39,ohlcv,history,high_lag9,0.008690985850989819,-0.001513653201982379,0.012591937556862831,0.0
40,ohlcv,history,high_lag10,0.002742281649261713,-0.003380868583917618,0.03728901967406273,-0.0235556922852993
41,ohlcv,history,low_lag1,0.00010881463094847277,-0.0025115080643445253,0.003211244475096464,0.0
42,ohlcv,history,low_lag2,0.0032898862846195698,0.0,0.016633929684758186,-0.009790853597223759
43,ohlcv,history,low_lag3,0.0011532084317877889,0.0,0.0,-0.026887431740760803
44,ohlcv,history,low_lag4,1.6687259630998597e-05,0.0035933738108724356,0.0059128995053470135,0.0
45,ohlcv,history,low_lag5,0.0035364790819585323,-0.009979063645005226,-0.000644551997538656,-0.005498938262462616
46,ohlcv,history,low_lag6,0.006641832645982504,-0.012433396652340889,-0.0024328266736119986,0.0
47,ohlcv,history,low_lag7,0.00022152521705720574,0.00412214919924736,0.0035596881061792374,-0.009453937411308289
48,ohlcv,history,low_lag8,0.0012385820737108588,0.006360157392919064,0.004815530963242054,-0.004867912270128727
49,ohlcv,history,low_lag9,0.003772807540372014,-0.003505653701722622,0.0013132627354934812,0.0013422691263258457
50,ohlcv,history,low_lag10,0.002734685782343149,0.0,0.005135705228894949,-0.01176505908370018
51,ohlcv,history,close_lag1,0.002259011846035719,0.0,0.0,0.0034529161639511585
52,ohlcv,history,close_lag2,0.0031430472154170275,0.03628493845462799,0.0017201333539560437,-0.006737413350492716
